TendenciaAnterior,Sube,Baja,Volumen
0.021973372,0,1,120
0.021974325,0,1,247
0.022120774,0,1,100
0.022226214,1,0,162
0.02232033,0,1,100
0.022393465,1,0,103
0.022415519,1,0,175
0.022416055,0,1,248
0.022450924,0,1,51
0.0225479,0,1,109
0.022693992,0,1,40
0.022798002,0,1,246
0.022838295,0,1,112
0.022926867,0,1,54
0.0229612,0,1,125
0.023201823,1,0,240
0.02340743,0,1,155
0.023411691,1,0,142
0.02341932,1,0,58
0.023430586,0,1,119
0.023522973,0,1,165
0.023565054,0,1,248
0.023671508,1,0,36
0.023712575,1,0,147
0.023819923,0,1,86
0.023943722,0,1,96
0.02398187,1,0,185
0.024006844,0,1,109
0.02409637,1,0,81
0.02424109,0,1,132
0.024374783,1,0,139
0.024487734,0,1,205
0.024524987,1,0,152
0.024941564,0,1,107
0.025030315,0,1,141
0.025078416,0,1,69
0.02524805,1,0,96
0.025439978,0,1,97
0.025528431,0,1,102
0.025657356,1,0,156
0.025777161,0,1,233
0.0262205,1,0,41
0.026302695,0,1,43
0.02636981,0,1,35
0.026459932,1,0,86
0.026460886,1,0,200
0.026544869,0,1,85
0.026750147,1,0,39
0.026754022,0,1,73
0.026880205,1,0,186
0.027320564,1,0,33
0.027398229,1,0,115
0.027399063,0,1,155
0.027608275,1,0,114
0.027611911,0,1,92
0.027707338,1,0,63
0.027726531,0,1,137
0.02795291,0,1,163
0.028046608,0,1,143
0.028073013,0,1,89
0.028083742,1,0,155
0.028230488,0,1,73
0.02829218,1,0,65
0.028508365,0,1,100
0.028576314,1,0,175
0.028583705,0,1,32
0.02862072,1,0,173
0.028743744,0,1,41
0.028959572,0,1,134
0.029587328,0,1,82
0.02968347,0,1,141
0.02976489,1,0,142
0.029766798,1,0,198
0.029791653,1,0,102
0.029966772,1,0,72
0.030085266,1,0,143
0.030228972,0,1,24
0.030327022,1,0,189
0.030344427,0,1,86
0.030468225,0,1,88
0.030610442,1,0,176
0.030664653,1,0,188
0.030852735,0,1,127
0.03095764,0,1,196
0.030963957,1,0,91
