Date,Open,High,Low,Close,Volume,Ask
2020.06.30 02:00,0.68728,0.68728,0.68715,0.68715,44,0
2020.06.30 02:05,0.68715,0.68719,0.68708,0.68709,77,0
2020.06.30 02:10,0.68709,0.68719,0.68707,0.68716,54,0
2020.06.30 02:15,0.68716,0.68729,0.68707,0.68727,102,0
2020.06.30 02:20,0.68727,0.68734,0.68724,0.68726,72,0
2020.06.30 02:25,0.68726,0.68731,0.68725,0.68725,39,0
2020.06.30 02:30,0.68725,0.68759,0.68725,0.68747,55,0
2020.06.30 02:35,0.68748,0.68757,0.68738,0.68745,90,0
2020.06.30 02:40,0.68745,0.68770,0.68741,0.68745,113,0
2020.06.30 02:45,0.68745,0.68751,0.68735,0.68745,105,0
2020.06.30 02:50,0.68745,0.68749,0.68735,0.68739,104,0
2020.06.30 02:55,0.68738,0.68748,0.68705,0.68712,168,0
2020.06.30 03:00,0.68715,0.68720,0.68678,0.68680,176,0
2020.06.30 03:05,0.68680,0.68732,0.68671,0.68719,147,0
2020.06.30 03:10,0.68720,0.68740,0.68720,0.68730,122,0
2020.06.30 03:15,0.68730,0.68762,0.68730,0.68739,173,0
2020.06.30 03:20,0.68740,0.68749,0.68719,0.68719,130,0
2020.06.30 03:25,0.68719,0.68732,0.68719,0.68720,83,0
2020.06.30 03:30,0.68727,0.68730,0.68667,0.68669,161,0
2020.06.30 03:35,0.68670,0.68678,0.68652,0.68668,133,0
2020.06.30 03:40,0.68668,0.68690,0.68637,0.68688,108,0
2020.06.30 03:45,0.68688,0.68700,0.68649,0.68657,113,0
2020.06.30 03:50,0.68657,0.68671,0.68583,0.68606,203,0
2020.06.30 03:55,0.68598,0.68649,0.68596,0.68625,134,0
2020.06.30 04:00,0.68626,0.68676,0.68624,0.68676,197,0
2020.06.30 04:05,0.68676,0.68687,0.68617,0.68628,119,0
2020.06.30 04:10,0.68627,0.68677,0.68618,0.68671,179,0
2020.06.30 04:15,0.68672,0.68690,0.68666,0.68689,180,0
2020.06.30 04:20,0.68688,0.68733,0.68688,0.68732,132,0
2020.06.30 04:25,0.68732,0.68742,0.68704,0.68708,127,0
2020.06.30 04:30,0.68713,0.68727,0.68693,0.68698,128,0
2020.06.30 04:35,0.68698,0.68741,0.68696,0.68739,158,0
2020.06.30 04:40,0.68738,0.68751,0.68733,0.68744,123,0
2020.06.30 04:45,0.68745,0.68772,0.68729,0.68745,146,0
2020.06.30 04:50,0.68746,0.68764,0.68744,0.68751,95,0
2020.06.30 04:55,0.68751,0.68781,0.68750,0.68780,97,0
2020.06.30 05:00,0.68780,0.68827,0.68780,0.68814,105,0
2020.06.30 05:05,0.68813,0.68836,0.68798,0.68801,92,0
2020.06.30 05:10,0.68801,0.68829,0.68797,0.68829,95,0
2020.06.30 05:15,0.68829,0.68831,0.68793,0.68798,85,0
2020.06.30 05:20,0.68798,0.68808,0.68786,0.68799,62,0
2020.06.30 05:25,0.68799,0.68806,0.68795,0.68798,55,0
2020.06.30 05:30,0.68796,0.68796,0.68776,0.68790,88,0
2020.06.30 05:35,0.68789,0.68798,0.68765,0.68769,96,0
2020.06.30 05:40,0.68768,0.68768,0.68737,0.68750,60,0
2020.06.30 05:45,0.68752,0.68765,0.68748,0.68760,73,0
2020.06.30 05:50,0.68760,0.68780,0.68759,0.68779,66,0
2020.06.30 05:55,0.68779,0.68787,0.68756,0.68765,66,0
2020.06.30 06:00,0.68765,0.68770,0.68748,0.68756,78,0
2020.06.30 06:05,0.68755,0.68768,0.68745,0.68768,61,0
2020.06.30 06:10,0.68768,0.68787,0.68768,0.68780,80,0
2020.06.30 06:15,0.68785,0.68799,0.68778,0.68791,53,0
2020.06.30 06:20,0.68791,0.68801,0.68790,0.68796,54,0
2020.06.30 06:25,0.68796,0.68817,0.68795,0.68806,70,0
2020.06.30 06:30,0.68811,0.68817,0.68801,0.68807,93,0
2020.06.30 06:35,0.68808,0.68812,0.68802,0.68805,47,0
2020.06.30 06:40,0.68806,0.68809,0.68791,0.68794,87,0
